Helix.A-Helix,Helix.3-Helix,Helix.5-Helix,Helix.PPII-Helix,Sheet.B-Sheet,Sheet.B-Bridge,Turn.Turn,Turn.Bend,Coil
0,0,0,0,119,3,0,26,62
0,0,0,0,111,6,0,23,70
0,0,0,0,104,7,0,25,74
0,0,0,0,122,5,0,20,63
0,0,0,0,111,3,0,28,68
0,0,0,0,118,3,0,26,63
0,0,0,0,114,7,0,22,67
0,0,0,0,120,5,0,23,62
0,0,0,0,112,6,0,21,71
0,0,0,0,99,5,0,20,86
0,0,0,0,112,2,0,23,73
0,0,0,0,133,5,0,16,56
0,0,0,0,122,5,0,19,64
0,0,0,0,120,5,0,23,62
0,0,0,0,125,4,0,18,63
0,0,0,0,116,5,0,23,66
0,0,0,0,121,3,0,26,60
0,0,0,1,117,6,1,20,65
0,0,0,0,101,10,0,20,79
0,0,0,0,105,7,0,25,73
0,0,0,0,118,6,0,23,63
0,0,0,0,112,4,0,28,66
0,0,0,0,109,11,0,22,68
0,0,0,0,118,7,0,22,63
0,0,0,0,113,6,0,23,68
0,0,0,0,113,4,0,22,71
0,0,0,0,106,7,0,22,75
0,0,0,0,109,3,0,24,74
0,0,0,0,107,4,0,27,72
0,0,0,0,118,4,0,21,67
0,0,0,0,111,7,0,23,69
0,0,0,0,117,7,0,20,66
0,0,0,0,119,1,0,24,66
0,0,0,0,130,2,0,18,60
0,0,0,0,110,9,0,19,72
0,0,0,0,106,5,0,22,77
0,0,0,0,113,5,0,25,67
0,0,0,0,117,4,0,21,68
0,0,0,0,106,7,1,22,74
0,0,0,0,107,7,0,24,72
0,0,0,0,108,8,0,22,72
0,0,0,0,113,3,0,20,74
0,0,0,0,116,4,0,19,71
0,0,0,1,118,5,0,23,63
0,0,0,2,109,6,1,23,69
0,0,0,0,101,6,0,24,79
0,0,0,0,114,1,0,23,72
0,0,0,2,111,7,0,21,69
0,0,0,0,119,3,0,21,67
0,0,0,0,120,4,0,22,64
0,0,0,0,105,6,0,26,73
0,0,0,2,103,11,0,25,69
0,0,0,0,109,9,1,23,68
0,0,0,0,103,9,0,24,74
0,0,0,0,113,4,0,26,67
0,0,0,0,105,10,0,25,70
0,0,0,0,104,9,2,24,71
0,0,0,2,110,7,1,23,67
0,0,0,0,110,9,1,23,67
0,0,0,0,113,6,2,22,67
0,0,0,0,113,8,1,21,67
0,0,0,0,112,6,0,24,68
0,0,0,0,109,6,3,20,72
0,0,0,1,108,7,0,24,70
0,0,0,0,105,7,0,24,74
0,0,0,0,96,10,1,23,80
0,0,0,0,105,7,0,24,74
0,0,0,0,93,8,2,25,82
0,0,0,0,101,9,0,22,78
0,0,0,0,113,7,0,23,67
0,0,0,0,99,8,2,22,79
0,0,0,0,101,9,2,24,74
0,0,0,0,112,4,2,22,70
0,0,0,0,107,9,3,21,70
0,0,0,0,107,7,1,20,75
0,0,0,0,98,13,0,20,79
0,0,0,0,105,12,0,20,73
0,0,0,0,120,8,1,19,62
0,0,0,0,111,10,1,20,68
0,0,0,0,114,11,1,21,63
0,0,0,0,109,11,1,23,66
0,0,0,0,111,7,1,21,70
0,0,0,0,110,5,2,19,74
0,0,0,0,109,8,0,19,74
0,0,0,0,103,12,1,19,75
0,0,0,0,108,8,0,22,72
0,0,0,2,99,7,2,20,80
0,0,0,0,104,7,0,22,77
0,0,0,0,111,3,0,22,74
0,0,0,0,112,7,0,26,65
0,0,0,0,113,3,2,23,69
0,0,0,0,112,7,1,24,66
0,0,0,0,118,6,1,22,63
0,0,0,0,112,8,1,22,67
0,0,0,0,109,9,1,24,67
0,0,0,0,110,7,1,23,69
0,0,0,2,109,8,2,21,68
0,0,0,0,104,8,2,21,75
0,0,0,0,102,11,2,22,73
0,0,0,0,105,14,0,21,70
0,0,0,0,100,6,2,20,82
0,0,0,2,98,10,1,20,79
0,0,0,2,101,12,1,23,71
0,0,0,0,100,9,2,20,79
0,0,0,0,109,7,1,22,71
0,0,0,1,112,7,1,22,67
0,0,0,0,110,9,1,23,67
0,0,0,2,107,7,1,22,71
0,0,0,0,109,12,1,24,64
0,0,0,0,105,8,1,22,74
0,0,0,0,114,6,2,23,65
0,0,0,0,103,13,2,19,73
0,0,0,0,108,11,1,23,67
0,0,0,0,112,9,1,21,67
0,0,0,0,110,7,2,25,66
0,0,0,0,109,10,1,22,68
0,0,0,2,103,10,0,25,70
0,0,0,2,100,15,0,25,68
0,0,0,0,114,8,0,24,64
0,0,0,0,111,5,1,21,72
0,0,0,0,101,13,1,19,76
0,0,0,0,110,7,0,22,71
0,0,0,0,111,5,0,24,70
0,0,0,0,110,6,0,24,70
0,0,0,0,98,9,2,23,78
0,0,0,1,102,11,1,22,73
0,0,0,0,106,9,2,23,70
0,0,0,0,109,7,3,23,68
0,0,0,0,104,7,2,22,75
0,0,0,0,95,13,1,22,79
0,0,0,0,102,12,1,23,72
0,0,0,0,101,9,1,21,78
0,0,0,0,108,9,3,20,70
0,0,0,0,109,8,1,20,72
0,0,0,0,111,7,2,23,67
0,0,0,0,114,7,1,21,67
0,0,0,0,107,8,0,20,75
0,0,0,0,112,8,2,20,68
0,0,0,0,109,10,0,27,64
0,0,0,0,97,14,0,25,74
0,0,0,0,116,5,2,21,66
0,0,0,0,99,10,2,24,75
0,0,0,2,114,7,0,23,64
0,0,0,0,102,13,1,22,72
0,0,0,0,107,6,2,22,73
0,0,0,0,101,12,0,24,73
0,0,0,0,104,9,1,24,72
0,0,0,0,109,11,2,22,66
0,0,0,0,108,9,1,23,69
0,0,0,0,109,14,1,22,64
0,0,0,0,104,6,0,26,74
0,0,0,0,109,8,2,19,72
0,0,0,0,115,9,2,19,65
0,0,0,0,100,11,1,19,79
0,0,0,0,108,9,2,21,70
0,0,0,0,127,4,1,17,61
0,0,0,0,109,9,0,20,72
0,0,0,0,113,10,0,23,64
0,0,0,0,105,14,1,20,70
0,0,0,0,125,5,1,21,58
0,0,0,0,118,8,0,22,62
0,0,0,0,114,8,1,18,69
0,0,0,0,117,7,0,19,67
0,0,0,0,110,8,2,22,68
0,0,0,2,101,10,0,21,76
0,0,0,0,107,11,1,22,69
0,0,0,4,98,11,0,25,72
0,0,0,2,108,12,1,23,64
0,0,0,0,104,9,1,20,76
0,0,0,0,93,11,0,22,84
0,0,0,0,103,13,0,20,74
0,0,0,0,100,8,3,19,80
0,0,0,0,103,7,0,23,77
0,0,0,0,112,8,0,21,69
0,0,0,0,117,6,0,21,66
0,0,0,0,117,9,0,19,65
0,0,0,0,112,6,2,20,70
0,0,0,2,122,6,1,17,62
0,0,0,2,121,8,1,18,60
0,0,0,0,115,6,1,19,69
0,0,0,0,121,8,0,19,62
0,0,0,0,112,9,0,23,66
0,0,0,0,116,5,1,18,70
0,0,0,0,98,11,1,21,79
0,0,0,0,99,11,1,23,76
0,0,0,0,116,7,1,20,66
0,0,0,2,104,8,1,21,74
0,0,0,0,100,10,1,24,75
